datetime,conditions,quarter
2008-06-02,Clear,2
2008-06-03,Partially cloudy,2
2008-06-04,Partially cloudy,2
2008-06-05,Clear,2
2008-06-06,Clear,2
2008-06-07,Clear,2
2008-06-08,Partially cloudy,2
2008-06-09,Partially cloudy,2
2008-06-10,Partially cloudy,2
2008-06-11,Partially cloudy,2
2008-06-12,Partially cloudy,2
2008-06-13,Partially cloudy,2
2008-06-14,Partially cloudy,2
2008-06-15,Clear,2
2008-06-16,Clear,2
2008-06-17,Clear,2
2008-06-18,Clear,2
2008-06-19,Clear,2
2008-06-20,Clear,2
2008-06-21,Clear,2
2008-06-22,Clear,2
2008-06-23,Clear,2
2008-06-24,Clear,2
2008-06-25,Partially cloudy,2
2008-06-26,Partially cloudy,2
2008-06-27,Partially cloudy,2
2008-06-28,Partially cloudy,2
2008-06-29,Clear,2
2008-06-30,Clear,2
2009-04-01,Partially cloudy,2
2009-04-02,Partially cloudy,2
2009-04-03,Partially cloudy,2
2009-04-04,Clear,2
2009-04-05,Clear,2
2009-04-06,Clear,2
2009-04-07,"Rain, Partially cloudy",2
2009-04-08,"Rain, Partially cloudy",2
2009-04-09,Partially cloudy,2
2009-04-10,Partially cloudy,2
2009-04-11,Partially cloudy,2
2009-04-12,Clear,2
2009-04-13,Clear,2
2009-04-14,Partially cloudy,2
2009-04-15,Clear,2
2009-04-16,Clear,2
2009-04-17,Clear,2
2009-04-18,Clear,2
2009-04-19,Clear,2
2009-04-20,Clear,2
2009-04-21,Clear,2
2009-04-22,Partially cloudy,2
2009-04-23,Partially cloudy,2
2009-04-24,Partially cloudy,2
2009-04-25,Partially cloudy,2
2009-04-26,Clear,2
2009-04-27,Partially cloudy,2
2009-04-28,Partially cloudy,2
2009-04-29,Clear,2
2009-04-30,Clear,2
2009-05-01,Clear,2
2009-05-02,Partially cloudy,2
2009-05-03,Partially cloudy,2
2009-05-04,Partially cloudy,2
2009-05-05,Clear,2
2009-05-06,Clear,2
2009-05-07,Clear,2
2009-05-08,Clear,2
2009-05-09,Partially cloudy,2
2009-05-10,Partially cloudy,2
2009-05-11,Partially cloudy,2
2009-05-12,Partially cloudy,2
2009-05-13,Clear,2
2009-05-14,Clear,2
2009-05-15,Partially cloudy,2
2009-05-16,Partially cloudy,2
2009-05-17,Partially cloudy,2
2009-05-18,Partially cloudy,2
2009-05-19,Partially cloudy,2
2009-05-20,Partially cloudy,2
2009-05-21,Partially cloudy,2
2009-05-22,Partially cloudy,2
2009-05-23,Partially cloudy,2
